name,passes_completed,finalizations,shots_on_target,minutes_played,assisted_goals,head_cuts,cards
Konstantinos Stafylidis,0,0,0,5.0,0,1,0
Alfreð Finnbogason,19,2,0,90.0,1,1,0
Ja-Cheol Koo,23,4,0,90.0,0,0,0
Dominik Kohr,20,0,0,90.0,0,3,1
Paul Verhaegh,41,0,0,91.0,0,3,0
Caiuby Francisco da Silva,21,1,0,85.0,0,1,0
Marwin Hitz,28,0,0,90.0,0,0,0
Daniel Baier,17,0,0,83.0,0,0,0
Jeffrey Gouweleeuw,47,0,0,91.0,0,5,1
Philipp Max,41,1,0,88.0,0,2,0
Alexander Esswein,20,2,0,67.0,0,0,0
Christoph Janker,11,0,0,42.0,0,1,0
Albian Afrim Ajeti,0,0,0,,0,0,0
Halil Altıntop,0,0,0,,0,0,0
Markus Feulner,0,0,0,,0,0,0
Jeong-Ho Hong,38,0,0,45.0,0,4,1
Alexander Manninger,0,0,0,,0,0,0
Tobias Werner,3,0,0,17.0,0,0,0
